朋友, friend
城市, city
智慧, wisdom
权力, power
地球, earth
光, light
火, fire
海洋, sea
森林, forest
生命, life
勇气, courage
黄金, gold
荣耀, glory
荣誉, honor
伟大, great
小, small
真理, truth
幸福, happiness
和平, peace
战争, war
时间, time
家, home
家庭, family
优雅, grace
希望, hope
夜晚, night
太阳, sun
月亮, moon
河流, river
身体, body
声音, voice
感觉, sense
爱, love
自由, freedom
艺术, art
学习, study
知识, knowledge
美德, virtue
工作, work
记忆, memory
赞美, praise
胜利, victory
理解, understanding
故事, story
神, god
关怀, care
使者, envoy
思想, mind
演讲, speech
自然, nature
风, wind
睡眠, sleep
信仰, faith
责任, duty
山, mountain
道路, way
港口, port
花园, garden
结束, end
丰盛, abundance
建筑物, building
田地, field
羔羊, lamb
骰子, dice
灵魂, soul
年份, year
技艺, skill
鸟, bird
帮助, help
幸福, blessed
财富, goods
天空, sky
平原, plain
歌曲, song
小屋, house
营地, camp
速度, speed
食物, food
仁慈, mercy
钥匙, key
友善, kindness
和谐, harmony
计划, plan
执政官, consul
侮辱, insult
皇冠, crown
过错, fault
关心, concern
守卫, guard
女神, goddess
喜悦, delights
学生, student
痛苦, pain
主人, master
领袖, leader
榜样, example
面容, face
家庭成员, household
妇女, woman
忠诚, loyalty
火焰, flame
形状, shape
兄弟, brother
欢乐, joy
种类, kind
剑, sword
感谢, thanks
人类, mankind
小时, hour
敌人, enemy
懒惰, laziness
形象, image
伤害, injury
岛屿, island
愤怒, anger
旅程, journey
法律, law
正义, justice
眼泪, tear
军团, legion
书籍, book
光亮, light
老师, teacher
母亲, mother
医生, doctor
商人, merchant
功绩, merit
士兵, soldier
方式, manner
山丘, hill
死亡, death
习俗, custom
众多, multitude
船只, ship
孙子, grandson
名字, name
数字, number
眼睛, eye
职责, duty
财富, wealth
城镇, town
世界, world
起源, origin
父亲, father
金钱, money
危险, danger
脚, foot
人民, people
奖赏, reward
长官, praetor
开始, beginning
女孩, girl
男孩, boy
国王, king
车轮, wheel
安全, safety
智慧, wisdom
参议院, senate
老人, old man
奴隶, slave
姐妹, sister

